Study#,TreatmentInt,Treatment,Group,Assignment#,Alias,Line,Branch,Conditional,Redundancies,AssignmentGrade,Number of Submissions,Avg LC % Change,Avg BC % Change,Avg CC % Change,Avg R % Change,Avg Time Between Submissions
1,2,Conceptual,B,3,S14,0.34,0.51,0.44,3,61.25,3,-0.012820513,0.080699175,0,0.258333333,3.35985
1,2,Conceptual,B,3,S15,0.62,0.58,0.85,5,71.25,2,0.175675676,0,0.319672131,0.142857143,1.81875
1,1,Raw,A,4,S01,0.68,0.38,0.6,6,62.5,4,0.004666261,0.04022183,0.046464405,0.066964286,9.286503
1,1,Raw,A,4,S02,0.39,0.54,0.46,3,63.75,6,0.023427961,0.001683502,0.008547009,0.013888889,7.775285026
1,1,Raw,A,4,S03,0.55,0.49,0.51,7,60,1,0,0,0,0,0
1,1,Raw,A,4,S04,0.61,0.42,0.42,3,63.75,9,0.01311841,0.026444411,0.033183292,-0.037037037,6.271171428
1,1,Raw,A,4,S05,0.26,0.47,0.64,1,68.75,8,0.044772996,0.031304222,0.02066883,0.135416667,6.962973327
1,1,Raw,A,4,S06,0.29,0.69,0.47,8,57.5,4,0.015467172,0.012941919,-0.003648828,0.052777778,10.7291625
1,1,Raw,A,4,S07,0.69,0.61,0.62,8,65,4,0.013157895,0.024725275,0.007855595,-0.035714286,3.015984375
1,1,Raw,A,4,S08,0.39,0.65,0.49,6,60,5,0.015053763,-0.001190476,0.025580079,0.028571429,10.3969152
1,1,Raw,A,4,S09,0.33,0.45,0.27,2,62.5,2,0,0.010204082,0,-0.5,7.35
1,1,Raw,A,4,S10,0.4,0.6,0.38,7,57.5,5,0.034833983,0.019355681,0.012414966,0.047222222,8.53426752
1,1,Raw,A,4,S11,0.63,0.33,0.33,3,63.75,1,0,0,0,0,0
1,1,Raw,A,4,S12,0.4,0.47,0.68,1,68.75,1,0,0,0,0,0
1,1,Raw,A,4,S13,0.43,0.66,0.7,8,60,1,0,0,0,0,0
1,2,Conceptual,B,4,S01,0.56,0.35,0.7,2,67.5,3,0.380863039,0.01754386,0,-0.055555556,3.04875
